_id,name,images
1000,"Lenovo ThinkCentre M92p Business Desktop Computer - Intel Core i7 Up to 3.9GHz, 16GB RAM, 480GB SSD, Windows 10 Pro","""[\""https://s3.amazonaws.com/fec.amazin/1000_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1000_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1000_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1000_4.jpg\""]"""
1001,"CYBERPOWERPC Gamer Xtreme VR GXiVR8080A4 Gaming PC (Liquid Cooled Intel i7-9700K 3.6GHz, 16GB DDR4, NVIDIA GeForce RTX 2080 8GB, 240GB SSD, 1TB HDD, WiFi & Win 10 Home) Black","""[\""https://s3.amazonaws.com/fec.amazin/1001_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1001_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1001_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1001_4.jpg\""]"""
1002,"Dell Inspiron High Performance Tower Computer PC (Intel Quad Core i7-7700, 16GB_DDR4 Ram, 128GB_SSD+1TB_HDD, NVIDIA GeForce GTX_1050, HDMI, WIFI, DVD-RW) Win 10 Pro","""[\""https://s3.amazonaws.com/fec.amazin/1002_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1002_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1002_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1002_4.jpg\""]"""
1003,"OMEN by HP Gaming Desktop Computer, Intel Core i7-9700K Processor, NVIDIA GeForce RTX 2080 8 GB, HyperX 16 GB RAM, 2 TB hard drive, 512 GB SSD, Windows 10 Home (880-190, Black)","""[\""https://s3.amazonaws.com/fec.amazin/1003_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1003_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1003_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1003_4.jpg\""]"""
1004,"Apple iMac (21.5-Inch Retina 4K Display, 3.6GHz Quad-Core 8th-Generation Intel Core i3 Processor, 1TB)","""[\""https://s3.amazonaws.com/fec.amazin/1004_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1004_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1004_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1004_4.jpg\""]"""
1005,"Dell-Inspiron AIO 3475 All In One Computer, Black (i3475-A802BLK-PUS)","""[\""https://s3.amazonaws.com/fec.amazin/1005_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1005_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1005_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1005_4.jpg\""]"""
1006,"CYBERPOWERPC Gamer Xtreme VR GXiVR8500A Gaming PC (Intel i5-9400F 2.9GHz, 8GB DDR4, NVIDIA GeForce GTX 1660 Ti 6GB, 120GB SSD, 1TB HDD, WiFi & Win 10) Black","""[\""https://s3.amazonaws.com/fec.amazin/1006_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1006_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1006_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1006_4.jpg\""]"""
1007,"HP ProDesk 600 G1 SFF Slim Business Desktop Computer, Intel i5-4570 up to 3.60 GHz, 8GB RAM, 500GB HDD, DVD, USB 3.0, Windows 10 Pro 64 Bit (8GB RAM | 500GB HDD)","""[\""https://s3.amazonaws.com/fec.amazin/1007_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1007_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1007_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1007_4.jpg\""]"""
1008,"CYBERPOWERPC Gamer Xtreme VR GXiVR8020A6 Gaming PC (Intel Core i5-9400F 2.9GHz, 8GB DDR4, AMD Radeon RX 580 4GB, 1TB HDD, 802.11AC WiFi, Win10 Home) Black","""[\""https://s3.amazonaws.com/fec.amazin/1008_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1008_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1008_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1008_4.jpg\""]"""
1009,"SkyTech Omega Mini Gaming Computer Desktop PC AMD Ryzen 5 1400 3.2 GHz, GTX 1050 Ti 4G, 500GB SSD with 3D NAND, 16GB DDR4 2400, A320 Motherboard, Win 10 Home (Ryzen 5 1400 | GTX 1050 TI | 500G SSD)","""[\""https://s3.amazonaws.com/fec.amazin/1009_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1009_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1009_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1009_4.jpg\""]"""
